acctno,name,mnem_code,credit,debit,txn_time,trmlid,refno,external_refno,remarks1
9test173695,1LNAME FNAME M.I PERSON,EPOS,289.64,0,01:40:53,9160,MCTX260310001278021,P_dfc27690a4ac440195e988b110da9ae9,\ 
9test092571,2LNAME FNAME M.I PERSON,EPOS,1041.0,0,01:41:53,9170,MCTX260310001278022,P_12ab81f8f27b41adb55d55559398c4b5,\ 
9test913298,3LNAME FNAME M.I PERSON,EPOS,189.0,0,01:47:04,9190,MCTX260310001278023,P_f8c0570f6e4545ac8afec4209c843621,\ 
9test125636,4LNAME FNAME M.I PERSON,EPOS,144.0,0,01:49:28,9340,MCTX260310001278025,P_4bc273ace5d7451bac65de3c44ee8730,\ 
9test478565,5LNAME FNAME M.I PERSON,EPOS,4292.21,0,01:50:19,9340,MCTX260310001278026,P_5329ab1ea141459ab467501dd5f968b7,\ 
9test369018,6LNAME FNAME M.I PERSON,EPOS,262.0,0,01:59:22,9160,MCTX260310001278030,P_fb9490f6344d452987b909d29f475e27,\ 
9test369018,6LNAME FNAME M.I PERSON,REPOS,0,262.0,01:59:23,9160,MCTX260310001278030,P_fb9490f6344d452987b909d29f475e27,\ 
9test968503,7LNAME FNAME M.I PERSON,EPOS,149.0,0,02:00:01,9340,MCTX260310001278032,P_8ddfb835d54f4b1eb7e7716d9c1a8f02,\ 
9test285700,8LNAME FNAME M.I PERSON,EPOS,189.0,0,02:02:19,9160,MCTX260310001278036,P_f7c9dda3b5a149eea9b97b8704462f16,\ 
9test390322,9LNAME FNAME M.I PERSON,EPOS,10200.0,0,02:05:12,9160,MCTX260310001278039,P_61ae1042be484a61949f71156671ce37,\ 
9test707215,10LNAME FNAME M.I PERSON,EPOS,59.36,0,02:09:52,9340,MCTX260310001278040,P_ae3371b6b1ac4e88b2f7495a0c37bd97,\ 
9test707215,10LNAME FNAME M.I PERSON,EPOS,178.08,0,02:12:05,9340,MCTX260310001278041,P_eb72d4331c074effbaf43ae207a198c9,\ 
9test164245,11LNAME FNAME M.I PERSON,EPOS,149.0,0,02:12:39,9340,MCTX260310001278042,P_e52ff19031474159aaad4a0cb84e0fbf,\ 
9test018077,12LNAME FNAME M.I PERSON,EPOS,169.0,0,02:14:27,9160,MCTX260310001278043,P_50b3071a506645a4baf235952417f351,\ 
9test235308,13LNAME FNAME M.I PERSON,EPOS,49.0,0,02:15:13,9190,MCTX260310001278044,P_5e368df205084481b2545c456ebf4af9,\ 
9test699042,14LNAME FNAME M.I PERSON,EPOS,491.0,0,02:19:10,9210,MCTX260310001278045,P_3a47ef7013f040b6b20f7e54a428bbca,\ 
